====================== Design Variables ======================
   NAME    VALUE MINIMUM MAXIMUM DESCRIPTION                  
 WoverL 0.999999    0.05       1 Width/Length of Cardboard    
    thk      0.1    0.02     0.4 Thickness of Cardboard  (in) 
==============================================================
""
HoverW vs Volume,
HoverW,L = 10,L = 15,L = 20
0.05,40.49991199060318,136.68720296828576,323.99929592482545
0.07105263157894737,52.293445555066185,176.4903787483484,418.3475644405295
0.09210526315789475,61.29707564315156,206.87763029563652,490.37660514521247
0.11315789473684211,67.73474083172643,228.6047503070767,541.8779266538114
0.13421052631578947,71.83037969765793,242.42753147959556,574.6430375812635
0.15526315789473683,73.80793081781323,249.10176651011966,590.4634465425058
0.1763157894736842,73.89133276905942,249.38324809557545,591.1306621524753
0.19736842105263158,72.30452412826365,244.0277689328898,578.4361930261092
0.21842105263157896,69.27144347229306,233.79112171898905,554.1715477783445
0.23947368421052634,65.01602937801478,219.42909915079986,520.1282350241182
0.26052631578947366,59.76222042229597,201.6974939252489,478.09776337836774
0.28157894736842104,53.733955182003726,181.3520987392626,429.8716414560298
0.3026315789473684,47.155172234005214,159.14870628976763,377.2413778720417
0.3236842105263158,40.24981015516756,135.84310927369054,321.99848124134047
0.3447368421052631,33.241807522357924,112.19110038795796,265.9344601788634
0.3657894736842105,26.355102912443392,88.94847232949643,210.84082329954714
0.3868421052631579,19.813634902291135,66.87101779523256,158.50907921832908
0.40789473684210525,13.841342068768276,46.71452948209292,110.7307365501462
0.42894736842105263,8.66216298874196,29.2348000870041,69.29730390993568
0.45,4.500036239079315,15.18762230689268,36.00028991263452
,
