====================== Design Variables ======================
   NAME    VALUE MINIMUM MAXIMUM DESCRIPTION                  
 WoverL 0.999999    0.05       1 Width/Length of Cardboard    
 HoverW     0.25    0.05    0.45 Height/Width of Box          
    thk      0.1    0.02     0.4 Thickness of Cardboard  (in) 
==============================================================
""
L,Volume
1.0,0.062499893215358336
1.4871794871794872,0.20557459102538814
1.9743589743589745,0.4810139036276268
2.4615384615384617,0.9321786531091774
2.948717948717949,1.6024296615571425
3.4358974358974357,2.5351277510586243
3.923076923076923,3.7736337437007275
4.410256410256411,5.361308461570556
4.897435897435898,7.341512726755208
5.384615384615384,9.757607361341789
5.871794871794871,12.6529531874174
6.358974358974359,16.07091102706915
6.846153846153846,20.054841702384138
7.333333333333333,24.648106035449462
7.82051282051282,29.894064848352233
8.307692307692307,35.836078963179546
8.794871794871796,42.51750920201854
9.282051282051281,49.98171638695622
9.769230769230768,58.27206134007981
10.256410256410255,67.43190488347634
10.743589743589743,77.50460783923292
11.23076923076923,88.5335310294367
11.717948717948717,100.56203527617473
12.205128205128204,113.63348140153413
12.692307692307692,127.79123022760197
13.179487179487179,143.07864257646543
13.666666666666666,159.53907927021154
14.153846153846153,177.21590113092745
14.64102564102564,196.15246898070023
15.128205128205128,216.392143641617
15.615384615384615,237.97828593576492
16.102564102564102,260.9542566852309
16.58974358974359,285.3634167121024
17.076923076923077,311.249126838466
17.564102564102562,338.6547478864092
18.05128205128205,367.6236406780192
18.538461538461537,398.1991660353827
19.025641025641026,430.4246847805871
19.51282051282051,464.3435577357193
20.0,499.9991457228668
