====================== Design Variables ======================
   NAME    VALUE MINIMUM MAXIMUM DESCRIPTION                  
      L  16.3299       1      20 Length of Cardboard  (in)    
 WoverL 0.999999    0.05       1 Width/Length of Cardboard    
 HoverW     0.25    0.05    0.45 Height/Width of Box          
    thk      0.1    0.02     0.4 Thickness of Cardboard  (in) 
==============================================================
""
WoverL,boxMass
0.05,0.03291670369486923
0.07435897435897436,0.04865116111478847
0.09871794871794873,0.06418783154470982
0.12307692307692308,0.07952671498463326
0.14743589743589744,0.09466781143455878
0.1717948717948718,0.10961112089448644
0.19615384615384618,0.1243566433644162
0.2205128205128205,0.138904378844348
0.2448717948717949,0.15325432733428196
0.2692307692307692,0.16740648883421796
0.2935897435897436,0.18136086334415613
0.31794871794871793,0.19511745086409635
0.3423076923076923,0.20867625139403867
0.36666666666666664,0.22203726493398307
0.391025641025641,0.23520049148392963
0.41538461538461535,0.24816593104387819
0.43974358974358974,0.2609335836138289
0.4641025641025641,0.2735034491937817
0.48846153846153845,0.2858755277837367
0.5128205128205129,0.2980498193836937
0.5371794871794872,0.31002632399365276
0.5615384615384615,0.321805041613614
0.5858974358974359,0.3333859722435773
0.6102564102564103,0.34476911588354275
0.6346153846153847,0.3559544725335103
0.6589743589743591,0.36694204219347987
0.6833333333333333,0.3777318248634515
0.7076923076923077,0.3883238205434253
0.7320512820512821,0.3987180292334012
0.7564102564102565,0.40891445093337925
0.7807692307692308,0.4189130856433592
0.8051282051282052,0.4287139333633415
0.8294871794871795,0.4383169940933258
0.8538461538461539,0.44772226783331226
0.8782051282051283,0.4569297545833007
0.9025641025641026,0.4659394543432912
0.926923076923077,0.4747513671132839
0.9512820512820513,0.4833654928932788
0.9756410256410257,0.4917818316832757
1.0,0.5000003834832746
