==================== Design Variables =====================
 NAME   VALUE MINIMUM MAXIMUM DESCRIPTION                  
  thk     0.1    0.02     0.4 Thickness of Cardboard  (in) 
    L 16.3299       1      20 Length of Cardboard  (in)    
===========================================================
""
HoverW vs Volume,
HoverW,WoverL = 0.2,WoverL = 0.4,WoverL = 0.6,WoverL = 0.8,WoverL = 1
0.05,7.68161295780756,30.099381385694926,66.31269961535911,115.38096197849723,176.3635628068062
0.07105263157894737,10.315875651735896,40.05644456752053,87.41111968821927,150.5693139546977,227.720440307821
0.09210526315789475,12.605900227728336,48.494829291370216,104.77362976161089,178.54914420913576,266.92821520463
0.11315789473684211,14.559488116219695,55.47694700072244,118.61086845727372,199.81974428963917,294.96206630158406
0.13421052631578947,16.18444074764477,61.065209139055696,129.1334743969476,214.8804057440356,312.7971724030343
0.15526315789473683,17.488559552438375,65.3220271498484,136.55208620237238,224.23042012015264,321.40871231333165
0.1763157894736842,18.479645961035327,68.30981247657907,141.07734249528778,228.36907896581823,321.77186483682686
0.19736842105263158,19.16550140387042,70.09097656272611,142.91988189743367,227.7956738288599,314.86180877787115
0.21842105263157896,19.553927311378466,70.72793085176802,142.29034303054985,223.0094962571053,301.6537229408154
0.23947368421052634,19.652725113994276,70.28308678718325,139.3993645163761,214.5098377983822,283.1227861300105
0.26052631578947366,19.46969624215265,68.81885581245027,134.4575849766523,202.79599000051834,260.2441771498078
0.28157894736842104,19.01264212628841,66.39764937104754,127.67564303311819,188.36724441134135,233.99307480455778
0.3026315789473684,18.289364196836345,63.0818789064535,119.2641773075136,171.72289257867894,205.34465789861162
0.3236842105263158,17.307663884231275,58.93395586214663,109.43382642157839,153.36222605035883,175.2741052363203
0.3447368421052631,16.07534261890801,54.01629168160542,98.39522899705229,133.7845363742088,144.75659562203487
0.3657894736842105,14.60020183130135,48.391297808308295,86.35902365567516,113.48911509805635,114.76730786010611
0.3868421052631579,12.890042951846105,42.12138568573373,73.53584901918677,92.97525376972932,86.2814207548852
0.40789473684210525,10.95266741097708,35.268966757360154,60.13634370932698,72.7422439370553,60.27411311072293
0.42894736842105263,8.795876639129093,27.89645246666609,46.37114634783557,53.28937714786214,37.72056373197035
0.45,6.427472066736936,20.06625425712994,32.450895556452345,35.11594494997739,19.595951422978448
,
