=========== Design Variables ===========
 NAME VALUE MINIMUM MAXIMUM DESCRIPTION 
========================================
""
x vs F,
x,y = -2,y = -1,y = 0,y = 1,y = 2
-2.0,20.0,25.0,24.0,23.0,28.0
-1.92,17.9584,23.038400000000003,22.1184,21.1984,26.2784
-1.84,15.9936,21.1536,20.3136,19.4736,24.6336
-1.76,14.105599999999999,19.3456,18.5856,17.825599999999998,23.0656
-1.68,12.294399999999996,17.614399999999996,16.934399999999997,16.254399999999997,21.574399999999997
-1.6,10.560000000000002,15.960000000000003,15.360000000000003,14.760000000000003,20.160000000000004
-1.52,8.9024,14.3824,13.862400000000001,13.342400000000001,18.822400000000002
-1.44,7.321599999999999,12.881599999999999,12.4416,12.0016,17.561600000000002
-1.3599999999999999,5.817599999999998,11.457599999999998,11.097599999999998,10.737599999999999,16.3776
-1.28,4.390400000000001,10.1104,9.830400000000001,9.550400000000002,15.2704
-1.2,3.0400000000000005,8.84,8.64,8.440000000000001,14.24
-1.12,1.7664000000000009,7.646400000000001,7.526400000000001,7.4064000000000005,13.2864
-1.04,0.5696000000000012,6.529600000000001,6.489600000000001,6.449600000000001,12.409600000000001
-0.96,-0.5503999999999998,5.4896,5.5296,5.5696,11.6096
-0.8799999999999999,-1.5936000000000012,4.526399999999999,4.646399999999999,4.766399999999999,10.8864
-0.8,-2.559999999999999,3.6400000000000006,3.8400000000000007,4.040000000000001,10.24
-0.72,-3.4495999999999998,2.8304,3.1104,3.3904000000000005,9.6704
-0.6399999999999999,-4.262400000000001,2.097599999999999,2.4575999999999993,2.8175999999999997,9.1776
-0.56,-4.998399999999999,1.4416000000000002,1.8816000000000002,2.3216,8.761600000000001
-0.48,-5.6575999999999995,0.8624,1.3824,1.9024,8.4224
-0.3999999999999999,-6.240000000000001,0.35999999999999943,0.9599999999999995,1.5599999999999996,8.16
-0.32000000000000006,-6.7456,-0.06559999999999966,0.6144000000000003,1.2944000000000002,7.974399999999999
-0.24,-7.1744,-0.4144,0.3456,1.1056000000000001,7.865599999999999
-0.15999999999999992,-7.526400000000001,-0.6864000000000002,0.15359999999999985,0.9936,7.833599999999999
-0.08000000000000007,-7.8016,-0.8815999999999998,0.03840000000000007,0.9583999999999999,7.878399999999999
0.0,-8.0,-1.0,0.0,1.0,8.0
0.08000000000000007,-8.1216,-1.0415999999999999,0.03840000000000007,1.1184,8.1984
0.16000000000000014,-8.1664,-1.0063999999999997,0.1536000000000003,1.3136000000000005,8.473600000000001
0.2400000000000002,-8.1344,-0.8943999999999996,0.34560000000000063,1.5856000000000008,8.825600000000001
0.31999999999999984,-8.0256,-0.7056000000000004,0.6143999999999994,1.9343999999999992,9.2544
0.3999999999999999,-7.840000000000001,-0.4400000000000004,0.9599999999999995,2.3599999999999994,9.759999999999998
0.48,-7.5775999999999994,-0.09759999999999991,1.3824,2.8624,10.342400000000001
0.56,-7.2383999999999995,0.3216000000000001,1.8816000000000002,3.4416,11.0016
0.6400000000000001,-6.822399999999999,0.817600000000001,2.457600000000001,4.097600000000002,11.7376
0.7200000000000002,-6.329599999999998,1.3904000000000019,3.110400000000002,4.830400000000003,12.550400000000003
0.8000000000000003,-5.759999999999998,2.0400000000000023,3.8400000000000025,5.640000000000002,13.440000000000005
0.8799999999999999,-5.113600000000001,2.766399999999999,4.646399999999999,6.526399999999999,14.4064
0.96,-4.3904,3.5696000000000003,5.5296,7.4896,15.4496
1.04,-3.590399999999999,4.449600000000001,6.489600000000001,8.529600000000002,16.5696
1.12,-2.7135999999999996,5.4064000000000005,7.526400000000001,9.6464,17.7664
1.2000000000000002,-1.759999999999998,6.440000000000002,8.640000000000002,10.840000000000003,19.04
1.2800000000000002,-0.729599999999996,7.550400000000004,9.830400000000004,12.110400000000006,20.390400000000007
1.3599999999999999,0.3775999999999984,8.737599999999999,11.097599999999998,13.457599999999998,21.8176
1.44,1.5615999999999994,10.0016,12.4416,14.881599999999999,23.3216
1.52,2.822400000000001,11.342400000000001,13.862400000000001,16.3824,24.9024
1.6,4.160000000000003,12.760000000000003,15.360000000000003,17.960000000000004,26.560000000000002
1.6800000000000002,5.574400000000003,14.254400000000004,16.934400000000004,19.614400000000003,28.294400000000003
1.7600000000000002,7.065600000000006,15.825600000000007,18.585600000000007,21.345600000000008,30.105600000000006
1.8399999999999999,8.633599999999994,17.473599999999994,20.313599999999994,23.153599999999994,31.993599999999994
1.92,10.278400000000001,19.1984,22.1184,25.038400000000003,33.9584
2.0,12.0,21.0,24.0,27.0,36.0
,
